Leaflet Link,Unuseable,Date,Constituency,Party,Leader Picture included,Leader mentioned,Party Logo,"Leaflet Style (Leaflet, Letter, Magazine, Newsletter, Newspaper, CV or Survey)",Opposition leader pictured,Opposition leader mentioned,"squeeze message",Does it include a graph?
https://electionleaflets.org/leaflets/8673,,"Saturday, 14 Feb, 2015",Wallasey,UKIP,yes,yes,yes,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8674,,"Saturday, 14 Feb, 2015",Cambridge,Labour,no,no,yes,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8675,,"Saturday, 14 Feb, 2015",Cambridge,Liberal Democrats,no,no,no,newsletter,no,no,yes,no
https://electionleaflets.org/leaflets/8676,,"Monday, 16 Feb, 2015",Cambridge,Liberal Democrats,no,no,no,newsletter,no,no,yes,no
https://electionleaflets.org/leaflets/8677,,"Monday, 16 Feb, 2014",Cambridge,Labour,yes,no,yes,leaflet,no,yes,no,no
https://electionleaflets.org/leaflets/8678,unuseable,Not a leaflet?,,,,,,,,,,
https://electionleaflets.org/leaflets/8679,,"Tuesday, 17 Feb, 2015",Lewisham West and Penge,Conservative,no,no,yes,newsletter,no,no,no,no
https://electionleaflets.org/leaflets/8680,,"Tuesday, 17 Feb, 2015",East Worthing and Shoreham,National Health Action Party,no,no,yes,leaflet,,,no,no
https://electionleaflets.org/leaflets/8681,,18/02/2015,Cambridge,Labour,no,no,yes,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8682,,19/02/2015,Cambridge,Labour,yes,no,yes,leaflet,no,yes,no,no
https://electionleaflets.org/leaflets/8683,,20/02/2015,Ashford,UKIP,no,no,yes,newsletter,no,no,no,no
https://electionleaflets.org/leaflets/8684,,20/02/2015,Aylesbury,UKIP,no,no,yes,newsletter,no,no,no,no
https://electionleaflets.org/leaflets/8685,,20/02/2015,Hereford & South Herefordshire,Labour,no,no,yes,newspaper,no,no,no,no
https://electionleaflets.org/leaflets/8686,,20/02/2015,Unspecified,UKIP,yes,no,no,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8687,,21/02/2015,Cambridge,Labour,no,no,yes,leaflet,no,yes,no,no
https://electionleaflets.org/leaflets/8688,,21/02/2015,Thurrock,Conservative,yes,yes,yes,survey,no,yes,no,no
https://electionleaflets.org/leaflets/8689,,21/02/2015,Ilford South,Conservative,yes,yes,no,leaflet,no,no,no,no
